Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;111
Bohne (alle Arten), getrocknet;"Weisse Bohne;Rote Bohne;Borlotti Bohne";Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;305
Bohne, grün, gedämpft (ohne Zugabe von Salz);Gartenbohne;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;34
Bohne, grün, getrocknet;Dörrbohne;Gemüse/Gemüse getrocknet;pro 100g essbarer Anteil;318
Bohne, grün, roh;Gartenbohne;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;32
Bolognaisesauce;Tomaten-Hackfleischsauce;Verschiedenes/Saucen;pro 100g essbarer Anteil;96
Bouillon, Fleisch, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;5
Bouillon, Geflügel, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;5
Bouillon, Gemüse, zubereitet;Klare Brühe;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;6
Branchli (Milchschokolade mit Haselnusscrèmefüllung);Schokoladenstängeli;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;558
Branntwein aus Getreide, 40 vol% (z.B. Whisky);Getreideschnaps;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;234
Branntwein aus Wein (z.B.Cognac, Brandy);;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;228
Branntwein aus Zuckerrohr (z.B. Rum);Zuckerrohrschnaps;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;222
Bratbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;885
Bratensauce, gebunden;;Verschiedenes/Saucen;pro 100g essbarer Anteil;53
Bratensauce, klar;;Verschiedenes/Saucen;pro 100g essbarer Anteil;44
Bresaola;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;167
Brie, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;342
Brie, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;298
Broccoli, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;35
Broccoli, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;39
Brombeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;47
Brombeerkuchen, hausgemacht (mit süssem Mürbeteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;215
Brombeerkuchen, hausgemacht, gebacken (mit Blätterteig);Brombeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;141
Brombeerkuchen, hausgemacht, gebacken (mit Kuchenteig);Brombeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;144
Brot (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;264
Brühwürste geräuchert (Durchschnitt);;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;249
Brühwürste ungeräuchert (Durchschnitt);;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;251
Brunnenkresse, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;17
Brunsli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;515
Buchweizen, Korn geschält;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;346
Buchweizenmehl;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;348
Bündner Gerstensuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;42
Burger mit Fisch;;Gerichte/Fast Food;pro 100g essbarer Anteil;262
Burger mit Poulet;;Gerichte/Fast Food;pro 100g essbarer Anteil;247
Bürli (halbweiss);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;215
Buttergipfeli, hell;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;432
Buttergipfeli, Vollkorn;Rusticogipfeli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;368
Buttermilch;;Milch und Milchprodukte/Milch- und Joghurtgetränke;pro 100 ml;34
Butterweggli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;309
Butterzopf;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;325
Butterzopf, Vollkorn;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;272
Café crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100 ml;13
Cake Financier;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;440
Calimocho (Rotwein mit Cola);;"Alkoholfreie Getränke/Süssgetränke;Alkoholhaltige Getränke/Sonstige alkoholische Getränke";pro 100 ml;55
Camembert, halbfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;188
Camembert, Rahm;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;355
Camembert, vollfett;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;297
Cannelloni mit Fleischfüllung, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;177
