Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Quark, nature, mager;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;61
Quark, nature, Rahm;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;183
Quarkblätterteig (mit Butter), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;401
Quarkblätterteig (mit pflanzlichem Fett), ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;388
Quiche Lorraine, gebacken (mit Blätterteig);;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;291
Quiche Lorraine, gebacken (mit Kuchenteig);;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;295
Quinoa, gekocht (ohne Zugabe von Salz und Fett);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;120
Quinoa, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;368
Quitte, gekocht, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;49
Quitte, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;47
Raclettekäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;357
Radieschen, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;17
Rahm (Durchschnitt);;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;252
Rahmglace, Frucht;Rahmeis;Süssigkeiten/Glacen auf Milchbasis;pro 100g essbarer Anteil;185
Rahmkaramellen;Rahmbonbons;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;351
Rande, gedämpft (ohne Zugabe von Salz);Rote Beete;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;54
Rande, roh;Rote Beete;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;46
Rapsöl;;Fette und Öle/Öle;pro 100 ml;810
Rapsöl HOLL (high oleic, low linolenic);;Fette und Öle/Öle;pro 100 ml;810
Ratatouille, zubereitet;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;45
Reblochon;;Milch und Milchprodukte/Weichkäse;pro 100g essbarer Anteil;307
Reh (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;122
Reh, Ragout, roh;Rehpfeffer;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;105
Reh, Schnitzel, roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;105
Reibkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;406
Reis parboiled, gekocht in Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;120
Reis parboiled, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;356
Reis poliert, gekocht in Salzwasser (unjodiert);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;116
Reis poliert, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;352
Reis unpoliert, gekocht in Salzwasser (unjodiert);Vollkornreis;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;126
Reis unpoliert, trocken;Vollkornreis;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;350
Reisgetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;54
Reisgetränk, nature, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;54
Rettich, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;18
Rhabarber, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;22
Rhabarberkompott, gezuckert;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;88
Rhabarberkuchen, gebacken (mit Blätterteig);Rhabarberwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;121
Rhabarberkuchen, hausgemacht, gebacken (mit Kuchenteig);Rhabarberwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;123
Rind, Brust, gekocht (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;254
Rind, Brust, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;188
Rind, Eckstück, roh;Plätzli;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;111
"Rind, Entrecôte, ""medium"" gebraten (ohne Zusatz von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;162
Rind, Entrecôte, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;133
"Rind, Filet, ""medium"" gebraten (ohne Zustatz von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;128
Rind, Filet, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;105
Rind, Gehacktes, gebraten (ohne Zusatz von Fett und Salz);Hackfleisch;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;211
Rind, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;154
Rind, Geschnetzeltes, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;102
Rind, Hals, roh;"Voressen;Gulasch";Fleisch und Innereien/Rind;pro 100g essbarer Anteil;150
Rind, Hohrücken, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;165
Rind, Leber, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;138
Rind, Runder Mocken, roh;Saftplätzli;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;106
"Rind, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;146
"Rind, Schulter, Braten ""rare"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;135
"Rind, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;170
Rind, Schulter, Braten, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;117
Rind, Siedfleisch, durchzogen,  roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;227
Rind, Siedfleisch, durchzogen, gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;276
Rind, Siedfleisch, mager, gekocht (ohne Zusatz von Fett and Salz);;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;190
Rind, Siedfleisch, mager, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;132
Rind, Voressen, roh;Ragout;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;97
Rind, Zunge, roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;196
Rindfleisch (Durchschnitt exkl. Innereien, Rippensteak), roh;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;134
Rindsragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;85
Rippli (Nierstück), roh;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;155
Risotto ohne Käse, zubereitet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis;pro 100g essbarer Anteil;124
Ristretto crème, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;47
Riz Casimir mit Kalbfleisch, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;123
Riz Casimir mit Poulet, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;124
Roggenbrot mit Sauerteig;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;215
Roggenmehl, halbweiss, Typ 815;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;334
Roggenmehl, Ruch, Typ 1050;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;336
Roggenmehl, Vollkorn, Schrot, Typ 1800;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;337
Roggenschrotbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;235
Rohessspeck;"Bauernspeck;Bauernspeck, roh, geräuchert";Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;400
Rohpökelwaren (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;274
Rohschinken;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;229
Rohwürste mit abgebrochener Reifung (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;314
Rohwürste/Dauerwürste (Durchschnitt);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;445
Rollgerste;Gerstengraupen;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;347
Rollmops;Hering, sauer;Fisch/Fischerzeugnisse;pro 100g essbarer Anteil;270
Rollschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;181
Rollschinken, gekocht (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Sonstige Fleisch- und Wurstwaren;pro 100g essbarer Anteil;188
Roquefort;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;363
Rosenkohl, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;37
Rosenkohl, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;41
Rosine, getrocknet;"Weinbeere;Sultanine";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;321
Rosmarin, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;62
Rösti (Fertig-Rösti), ungebraten;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;150
Rotkohl, gedünstet (ohne Zugabe von Fett und Salz);"Rotkraut;Blaukraut";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;25
Rotkohl, roh;"Rotkraut;Blaukraut";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;29
Ruchbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;234
Ruchbrot (mit jodiertem Kochsalz);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;234
Rucola, roh;Rauke;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;28
Rüeblitorte;"Rüeblicake;Rüeblikuchen";Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;303
Rührei mit Champignons, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;127
Rührei mit Käse, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;157
Rührei mit Kräutern, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;141
Rührei mit Schinken, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;143
Rührei, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;147
"Rührteigcake ""Gleichschwer""";;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;430
Russischer Salat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;197
Sablé, Butter;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;474
Salametti;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;343
Salami;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;367
Salami (Billiglinie);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;422
Salatsauce französisch, hausgemacht (mit Rapsöl);;Fette und Öle/Salatsaucen;pro 100 ml;430
Salatsauce italienisch, hausgemacht (mit Olivenöl);;Fette und Öle/Salatsaucen;pro 100 ml;464
Salatsauce, französisch;;Fette und Öle/Salatsaucen;pro 100g essbarer Anteil;360
Salatsauce, italienisch;;Fette und Öle/Salatsaucen;pro 100g essbarer Anteil;309
Salbei, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;59
Salsiz;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;415
Saltimbocca, gebraten in HOLL-Rapsöl;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;216
Salz, Himalayasalz;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Salz, Meersalz, Fleur de sel;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Salz, Meersalz, Standard, weiss, ohne zugesetztes Jod und Fluor ;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Samen, Kerne, Nüsse (Durchschnitt), ungesalzen;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;614
Samosa, frittiert;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;382
Samosa, gebacken;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;353
Sandwich (Baguette) mit Aufschnitt;;Gerichte/Sandwiches;pro 100g essbarer Anteil;157
Sandwich (Baguette) mit Fleischkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;220
Sandwich (Baguette) mit Halbhartkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;179
Sandwich (Baguette) mit Mozzarella;;Gerichte/Sandwiches;pro 100g essbarer Anteil;163
Sandwich (Baguette) mit Rohschinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;165
Sandwich (Baguette) mit Salami;;Gerichte/Sandwiches;pro 100g essbarer Anteil;158
Sandwich (Baguette) mit Schinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;131
Sandwich (Baguette) mit Trockenfleisch;;Gerichte/Sandwiches;pro 100g essbarer Anteil;141
Sandwich (Baguette) mit Weichkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;183
Sandwich (Ruchbrot) mit Aufschnitt;;Gerichte/Sandwiches;pro 100g essbarer Anteil;151
Sandwich (Ruchbrot) mit Fleischkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;210
Sandwich (Ruchbrot) mit Halbhartkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;171
Sandwich (Ruchbrot) mit Mozzarella;;Gerichte/Sandwiches;pro 100g essbarer Anteil;156
Sandwich (Ruchbrot) mit Rohschinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;158
Sandwich (Ruchbrot) mit Salami;;Gerichte/Sandwiches;pro 100g essbarer Anteil;151
Sandwich (Ruchbrot) mit Schinken;;Gerichte/Sandwiches;pro 100g essbarer Anteil;125
Sandwich (Ruchbrot) mit Trockenfleisch;;Gerichte/Sandwiches;pro 100g essbarer Anteil;134
Sandwich (Ruchbrot) mit Weichkäse;;Gerichte/Sandwiches;pro 100g essbarer Anteil;175
Sardelle im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;182
Sardellenpaste;;Verschiedenes/Aufstriche;pro 100g essbarer Anteil;272
Sardine im Öl, abgetropft;;Fisch/Meeresfische;pro 100g essbarer Anteil;215
Sardine, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;163
Saucisse aux choux;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;363
Saucisson;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;403
Saucisson vaudois;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;358
Saucisson, gekocht (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;442
Sauerkraut, in Essig eingelegt;Sauerkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;19
Sauerrahm;Crème fraîche;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;336
Saurer Halbrahm;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;173
Sbrinz;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;415
Scampi (Kaisergranat), roh;;Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;93
Schafmilch;;Milch und Milchprodukte/Milch;pro 100 ml;105
Schaumwein;"Sekt;Prosecco;Champagner";Alkoholhaltige Getränke/Wein;pro 100 ml;71
Schinkengipfeli;;"Salzige Snacks/Blätterteiggebäcke;Gerichte/Sonstige salzige/rezente Gerichte";pro 100g essbarer Anteil;340
Schmelzkäse, Scheibe, Rahm;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;327
Schmelzkäse, Scheibe, viertelfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;155
Schmelzkäse, Scheibe, vollfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;316
Schmelzkäse, streichfähig, Rahm;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;316
Schmelzkäse, streichfähig, viertelfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;150
Schmelzkäse, streichfähig, vollfett;;Milch und Milchprodukte/Käseerzeugnisse;pro 100g essbarer Anteil;247
Schnittlauch, roh;;Gemüse/Kräuter;pro 100g essbarer Anteil;30
Schnitzelbrot mit Cocktailsauce;Plätzlibrot;Gerichte/Sandwiches;pro 100g essbarer Anteil;262
Schnitzelbrot mit Tartarsauce;Plätzlibrot;Gerichte/Sandwiches;pro 100g essbarer Anteil;242
Schoggibrötli;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;366
Schokolade, dunkel (bitter);;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;537
Schokolade, weiss;;Süssigkeiten/Schokolade und Kakaoerzeugnisse;pro 100g essbarer Anteil;567
Schokoladencrème;;Süssigkeiten/Cremen und Pudding;pro 100g essbarer Anteil;122
Schokoladengugelhopf;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;380
Schokoladenpulver;;"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke";pro 100g essbarer Anteil;398
Scholle, roh;Goldbutt;Fisch/Meeresfische;pro 100g essbarer Anteil;86
Schümliguetzli;"Schümli; Schaumgebäck; Schaumkeks";Süssigkeiten/Guetzli;pro 100g essbarer Anteil;444
Schümliguetzli mit Schokolade;Choco-Schümli;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;486
Schützenwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;244
Schwarzwälder Kirschtorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;248
Schwarzwurzel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;57
Schwarzwurzel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;55
Schwein, Brustspitz, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;239
Schwein, Eckstück, Plätzli, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;162
Schwein, Eckstück, roh;Plätzli;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;115
Schwein, Filet, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;153
Schwein, Filet, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;121
Schwein, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;159
Schwein, Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;176
Schwein, Geschnetzeltes, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;134
Schwein, Hals, Steak, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;255
Schwein, Hals, Steak, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;203
Schwein, Haxe, geschmort (ohne zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;239
Schwein, Haxe, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;173
Schwein, Kotelett, gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;240
Schwein, Kotelett, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;179
Schwein, Leber, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;131
Schwein, Nierstück, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;138
Schwein, Runder Mocken, roh;Plätzli;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;127
"Schwein, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;202
"Schwein, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;221
Schwein, Schulter, Braten, roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;181
Schwein, Voressen, roh;Ragout;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;135
Schweinefleisch (Durchschnitt exkl. Innereien, Kotelett, Haxe), roh;;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;160
Schweineschmalz;;Fette und Öle/Fette;pro 100g essbarer Anteil;900
Schweinsbratwurst;Bauernbratwurst;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;236
Schweinsbratwurst, gebraten (ohne Zusatz von Fett und Salz);;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;283
Schweinspiccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;226
Schweinsragout mit Sauce, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;105
Schweinswurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;268
Seehecht, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;71
Seelachs, roh;"Kohlfisch;Köhler;Pollack";Fisch/Meeresfische;pro 100g essbarer Anteil;80
Seezunge, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;85
Seitan;;Fleischersatzprodukte;pro 100g essbarer Anteil;193
Sellerie-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;136
Selleriescheiben, paniert, zubereitet;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;139
Semmeli;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;245
Senf;;Verschiedenes/Saucen;pro 100g essbarer Anteil;124
Sesamöl;;Fette und Öle/Öle;pro 100 ml;810
Sesamsamen ungeschält;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;619
Sesamsamen, geschält;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;660
Sherry, 18.5 vol%;Jerez;Alkoholhaltige Getränke/Wein;pro 100 ml;118
Siedfleischsalat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;201
Silberzwiebel, in Essig eingelegt;;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;28
Sirup unverdünnt;;Alkoholfreie Getränke/Sirup;pro 100 ml;371
Sirup zubereitet (verdünnt im Verhältnis 1:5.5);;"Alkoholfreie Getränke/Sirup;Alkoholfreie Getränke/Süssgetränke";pro 100 ml;55
Sojabohne, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;157
Sojabohne, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;399
Sojagetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;43
Sojagetränk, nature, mit Calicum and Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;43
Sojamehl, entfettet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;296
Sojamehl, vollfett;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;398
Sojaöl;;Fette und Öle/Öle;pro 100 ml;810
Sojasauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;56
Sojasprossen, roh;Sojakeime;Gemüse/Sprossen und Keimlinge;pro 100g essbarer Anteil;55
Sonnenblumenkerne;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;621
Sonnenblumenöl;;Fette und Öle/Öle;pro 100 ml;810
Sonnenblumenöl HO (high oleic), raffiniert;;Fette und Öle/Öle;pro 100 ml;810
Sorbet, Frucht;;Süssigkeiten/Glacen auf Wasserbasis;pro 100g essbarer Anteil;137
Spargel, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;26
Spargel, roh (weiss und grün);;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;27
Spinat, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;31
Spinat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;25
Spinatkuchen, gebacken (mit Blätterteig);Spinatwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;171
Spinatkuchen, gebacken (mit Kuchenteig);Spinatwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;174
Spirituosen 40 vol% (z.B. Vodka, Gin);;Alkoholhaltige Getränke/Spirituosen;pro 100 ml;222
Spitzbube (Mürbeteiggebäck mit Konfitüre);;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;499
St. Galler Bürli (halbweiss);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;231
St. Galler Schüblig;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;237
St. Paulin;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;294
Stachelbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;39
Stangensellerie, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;20
Stangensellerie, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;20
Steinpilz, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Pilze;pro 100g essbarer Anteil;46
Steinpilz, roh;;Gemüse/Pilze;pro 100g essbarer Anteil;39
Strudelteig, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;234
Surimi;;Fisch/Fischerzeugnisse;pro 100g essbarer Anteil;125
